compound,seed,acc_zs,acc_icl,acc_cass,acc_retrieval,retrieved,acc_naive,support,support_precision,support_recall,eps
antonym+capitalize,0,0.0,0.54,0.0,0.0,antonym,0.02,antonym|synonym|next-item|prev-item,0.25,0.5,0.6437
antonym+capitalize,1,0.0,0.54,0.0,0.0,antonym,0.02,antonym|synonym|capitalize|next-item|prev-item,0.4,1.0,0.6708
antonym+capitalize,2,0.0,0.54,0.0,0.0,antonym,0.02,antonym|synonym|next-item|prev-item,0.25,0.5,0.652
antonym+capitalize,3,0.0,0.54,0.0,0.0,antonym,0.02,antonym|synonym|next-item|prev-item,0.25,0.5,0.6722
antonym+capitalize,4,0.0,0.54,0.0,0.0,antonym,0.02,person-instrument|antonym|synonym|present-past|prev-item,0.2,0.5,0.7613
synonym+capitalize,0,0.0,0.34,0.0,0.0,synonym,0.0,synonym|capitalize-first-letter|english-german|english-spanish,0.25,0.5,0.7434
synonym+capitalize,1,0.0,0.34,0.0,0.0,synonym,0.0,synonym|capitalize-first-letter|english-french|english-german|alphabetically-last,0.2,0.5,0.5972
synonym+capitalize,2,0.0,0.34,0.0,0.0,synonym,0.0,synonym|english-spanish,0.5,0.5,0.6672
synonym+capitalize,3,0.0,0.34,0.0,0.0,synonym,0.0,synonym|capitalize-first-letter|lowercase-first-letter|english-spanish,0.25,0.5,0.6934
synonym+capitalize,4,0.0,0.34,0.0,0.0,synonym,0.0,synonym|capitalize-first-letter|english-french|english-german|english-spanish,0.2,0.5,0.6552
present-past+capitalize,0,0.0,0.98,0.0,0.0,present-past,0.0,present-past|singular-plural|capitalize,0.667,1.0,0.6409
present-past+capitalize,1,0.0,0.98,0.0,0.0,present-past,0.0,present-past|singular-plural|capitalize|verb-from-list,0.5,1.0,0.6961
present-past+capitalize,2,0.0,0.98,0.0,0.0,present-past,0.0,present-past|singular-plural|capitalize,0.667,1.0,0.6936
present-past+capitalize,3,0.0,0.98,0.0,0.0,present-past,0.0,present-past|singular-plural|capitalize|english-french,0.5,1.0,0.6926
present-past+capitalize,4,0.0,0.98,0.0,0.0,present-past,0.0,present-past|singular-plural|capitalize,0.667,1.0,0.7318
singular-plural+capitalize,0,0.0,0.98,0.0,0.0,capitalize,0.0,present-past|singular-plural|capitalize|choose-middle-of-list,0.5,1.0,0.7405
singular-plural+capitalize,1,0.0,0.98,0.0,0.0,singular-plural,0.0,present-past|singular-plural|capitalize|alphabetically-last|choose-middle-of-list,0.4,1.0,0.7458
singular-plural+capitalize,2,0.0,0.98,0.0,0.0,singular-plural,0.0,synonym|present-past|singular-plural|capitalize|choose-middle-of-list,0.4,1.0,0.7047
singular-plural+capitalize,3,0.0,0.98,0.0,0.0,singular-plural,0.0,singular-plural|capitalize|choose-middle-of-list,0.667,1.0,0.7606
singular-plural+capitalize,4,0.0,0.98,0.0,0.0,capitalize,0.0,present-past|singular-plural|capitalize|alphabetically-first|alphabetically-last,0.4,1.0,0.7481
english-french+capitalize,0,0.0,0.8,0.02,0.02,english-french,0.0,capitalize|capitalize-first-letter|english-french|english-spanish,0.5,1.0,0.5874
english-french+capitalize,1,0.0,0.8,0.02,0.02,english-french,0.0,capitalize-first-letter|english-french|english-german|english-spanish|alphabetically-last,0.2,0.5,0.5099
english-french+capitalize,2,0.0,0.8,0.02,0.02,english-french,0.0,singular-plural|capitalize|capitalize-first-letter|english-french|english-spanish,0.4,1.0,0.6272
english-french+capitalize,3,0.0,0.8,0.02,0.02,english-french,0.0,capitalize|capitalize-first-letter|english-french|english-german|english-spanish,0.4,1.0,0.5462
english-french+capitalize,4,0.0,0.8,0.02,0.02,english-french,0.0,english-french|english-german|english-spanish|alphabetically-first,0.25,0.5,0.5952
next-item+capitalize,0,0.0,0.5882352941176471,0.0,0.0,next-item,0.0,synonym|singular-plural|capitalize|next-item|prev-item,0.4,1.0,0.6734
next-item+capitalize,1,0.0,0.5882352941176471,0.0,0.0,next-item,0.0,capitalize-first-letter|next-item|prev-item|next-capital-letter,0.25,0.5,0.6541
next-item+capitalize,2,0.0,0.5882352941176471,0.0,0.0,next-item,0.0,synonym|singular-plural|next-item|prev-item,0.25,0.5,0.6455
next-item+capitalize,3,0.0,0.5882352941176471,0.0,0.0,next-item,0.0,synonym|singular-plural|next-item|prev-item|next-capital-letter,0.2,0.5,0.6512
next-item+capitalize,4,0.0,0.5882352941176471,0.0,0.0,next-item,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-item|next-capital-letter,0.2,0.5,0.7563
antonym+capitalize-first-letter,0,0.0,0.12,0.02,0.02,capitalize-last-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter,0.25,0.5,0.8457
antonym+capitalize-first-letter,1,0.0,0.12,0.0,0.02,capitalize-last-letter,0.0,capitalize-first-letter|capitalize-last-letter|prev-item|next-capital-letter,0.25,0.5,0.8254
antonym+capitalize-first-letter,2,0.0,0.12,0.0,0.02,capitalize-last-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|prev-item|next-capital-letter,0.2,0.5,0.9244
antonym+capitalize-first-letter,3,0.0,0.12,0.0,0.0,lowercase-first-letter,0.0,synonym|capitalize|capitalize-last-letter|lowercase-first-letter|next-capital-letter,0.0,0.0,0.9462
antonym+capitalize-first-letter,4,0.0,0.12,0.0,0.0,next-capital-letter,0.0,synonym|capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter,0.2,0.5,0.8449
present-past+capitalize-first-letter,0,0.02,1.0,0.0,0.0,capitalize-first-letter,0.02,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|english-french|prev-item,0.2,0.5,0.5555
present-past+capitalize-first-letter,1,0.02,1.0,0.0,0.0,capitalize-first-letter,0.02,present-past|singular-plural|capitalize-first-letter|capitalize-last-letter|lowercase-first-letter,0.4,1.0,0.5905
present-past+capitalize-first-letter,2,0.02,1.0,0.0,0.0,capitalize-first-letter,0.02,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter,0.333,0.5,0.5873
present-past+capitalize-first-letter,3,0.02,1.0,0.0,0.0,capitalize-first-letter,0.02,present-past|singular-plural|capitalize-first-letter|capitalize-last-letter|lowercase-first-letter,0.4,1.0,0.559
present-past+capitalize-first-letter,4,0.02,1.0,0.02,0.0,capitalize-first-letter,0.02,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter,0.25,0.5,0.5702
country-capital+word-length,0,0.0,0.12,0.0,0.0,capitalize-last-letter,0.0,person-instrument|capitalize-last-letter|prev-item|next-capital-letter|word-length,0.2,0.5,0.8159
country-capital+word-length,1,0.0,0.12,0.0,0.0,capitalize-last-letter,0.0,country-currency|capitalize-last-letter|prev-item|next-capital-letter|word-length,0.2,0.5,0.9289
country-capital+word-length,2,0.0,0.12,0.0,0.0,color-from-list,0.0,prev-item|next-capital-letter|word-length|color-from-list|fruit-from-list,0.2,0.5,0.9263
country-capital+word-length,3,0.0,0.12,0.0,0.0,capitalize-last-letter,0.0,capitalize-last-letter|prev-item|next-capital-letter|word-length,0.25,0.5,0.8193
country-capital+word-length,4,0.0,0.12,0.0,0.0,word-length,0.0,capitalize-last-letter|prev-item|word-length,0.333,0.5,0.8778
country-capital+lowercase-first-letter,0,0.0,0.16,0.0,0.0,capitalize-last-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter,0.25,0.5,0.7815
country-capital+lowercase-first-letter,1,0.0,0.16,0.0,0.0,capitalize-last-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|prev-item|next-capital-letter,0.2,0.5,0.879
country-capital+lowercase-first-letter,2,0.0,0.16,0.0,0.0,capitalize-last-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter,0.25,0.5,0.7673
country-capital+lowercase-first-letter,3,0.0,0.16,0.0,0.0,capitalize-first-letter,0.0,capitalize-first-letter|capitalize-last-letter|lowercase-first-letter|next-capital-letter,0.25,0.5,0.8658
country-capital+lowercase-first-letter,4,0.0,0.16,0.0,0.0,capitalize-last-letter,0.0,capitalize-last-letter|lowercase-first-letter|next-capital-letter,0.333,0.5,0.9217
