task,family,k,seed,mode,acc,eps,support_size,support,lam,delta_norm
country-capital,knowledge,0,0,oracle,0.4897959183673469,0,1,country-capital,0,5.424318955603735
country-capital,knowledge,0,0,naive,0.04081632653061224,1,31,all,0,0
country-capital,knowledge,4,0,cass,0.3877551020408163,0.7869,3,country-currency|landmark-country|product-company,0.2091,5.27
country-capital,knowledge,4,0,cass_recon,0.02040816326530612,0.7869,3,country-currency|landmark-country|product-company,0.2091,5.27
country-capital,knowledge,4,0,zvec,0.08163265306122448,0.7869,3,country-currency|landmark-country|product-company,0.2091,5.27
country-capital,knowledge,4,1,cass,0.12244897959183673,0.7491,4,country-currency|landmark-country|park-country|product-company,0.1754,5.2
country-capital,knowledge,4,1,cass_recon,0.02040816326530612,0.7491,4,country-currency|landmark-country|park-country|product-company,0.1754,5.2
country-capital,knowledge,4,1,zvec,0.02040816326530612,0.7491,4,country-currency|landmark-country|park-country|product-company,0.1754,5.2
country-capital,knowledge,4,2,cass,0.2857142857142857,0.7478,4,country-currency|landmark-country|park-country|product-company,0.1713,5.13
country-capital,knowledge,4,2,cass_recon,0.02040816326530612,0.7478,4,country-currency|landmark-country|park-country|product-company,0.1713,5.13
country-capital,knowledge,4,2,zvec,0.10204081632653061,0.7478,4,country-currency|landmark-country|park-country|product-company,0.1713,5.13
country-capital,knowledge,4,3,cass,0.46938775510204084,0.7637,3,country-currency|landmark-country|product-company,0.166,5.2
country-capital,knowledge,4,4,cass,0.42857142857142855,0.7465,5,country-currency|landmark-country|product-company|english-spanish|animal-from-list,0.1378,5.14
country-currency,knowledge,0,0,oracle,0.02040816326530612,0,1,country-currency,0,4.642193727782727
country-currency,knowledge,0,0,naive,0.0,1,31,all,0,0
country-currency,knowledge,4,0,cass,0.0,0.7216,4,country-capital|park-country|person-sport|person-instrument,0.1476,3.67
country-currency,knowledge,4,0,cass_recon,0.0,0.7216,4,country-capital|park-country|person-sport|person-instrument,0.1476,3.67
country-currency,knowledge,4,0,zvec,0.0,0.7216,4,country-capital|park-country|person-sport|person-instrument,0.1476,3.67
country-currency,knowledge,4,1,cass,0.0,0.7893,5,country-capital|park-country|person-sport|alphabetically-last|verb-from-list,0.1127,2.99
country-currency,knowledge,4,1,cass_recon,0.0,0.7893,5,country-capital|park-country|person-sport|alphabetically-last|verb-from-list,0.1127,2.99
country-currency,knowledge,4,1,zvec,0.0,0.7893,5,country-capital|park-country|person-sport|alphabetically-last|verb-from-list,0.1127,2.99
country-currency,knowledge,4,2,cass,0.0,0.8019,3,country-capital|park-country|person-sport,0.19,3.86
country-currency,knowledge,4,2,cass_recon,0.0,0.8019,3,country-capital|park-country|person-sport,0.19,3.86
country-currency,knowledge,4,2,zvec,0.0,0.8019,3,country-capital|park-country|person-sport,0.19,3.86
country-currency,knowledge,4,3,cass,0.0,0.7733,5,country-capital|park-country|person-sport|alphabetically-last|verb-from-list,0.1767,4.42
country-currency,knowledge,4,4,cass,0.0,0.8148,2,country-capital|park-country,0.2386,3.82
landmark-country,knowledge,0,0,oracle,0.44,0,1,landmark-country,0,5.326724328514022
landmark-country,knowledge,0,0,naive,0.0,1,31,all,0,0
landmark-country,knowledge,4,0,cass,0.3,0.5415,5,country-capital|park-country|person-occupation|person-sport|product-company,0.0892,4.11
landmark-country,knowledge,4,0,cass_recon,0.38,0.5415,5,country-capital|park-country|person-occupation|person-sport|product-company,0.0892,4.11
landmark-country,knowledge,4,0,zvec,0.04,0.5415,5,country-capital|park-country|person-occupation|person-sport|product-company,0.0892,4.11
landmark-country,knowledge,4,1,cass,0.4,0.6241,4,park-country|person-sport|person-instrument|product-company,0.1356,4.36
