task,family,k,seed,mode,acc,eps,support_size,support,lam,delta_norm
country-capital,knowledge,0,0,oracle,0.14285714285714285,0,1,country-capital,0,18.055546104575342
country-capital,knowledge,0,0,naive,0.04081632653061224,1,31,all,0,0
country-capital,knowledge,4,0,cass,0.04081632653061224,0.8903,4,country-currency|landmark-country|park-country|choose-middle-of-list,0.7879,17.97
country-capital,knowledge,4,0,cass_recon,0.04081632653061224,0.8903,4,country-currency|landmark-country|park-country|choose-middle-of-list,0.7879,17.97
country-capital,knowledge,4,0,zvec,0.04081632653061224,0.8903,4,country-currency|landmark-country|park-country|choose-middle-of-list,0.7879,17.97
country-capital,knowledge,4,1,cass,0.04081632653061224,0.8218,3,country-currency|landmark-country|park-country,0.6212,13.99
country-capital,knowledge,4,1,cass_recon,0.02040816326530612,0.8218,3,country-currency|landmark-country|park-country,0.6212,13.99
country-capital,knowledge,4,1,zvec,0.04081632653061224,0.8218,3,country-currency|landmark-country|park-country,0.6212,13.99
country-capital,knowledge,4,2,cass,0.04081632653061224,0.8391,5,country-currency|landmark-country|park-country|product-company|alphabetically-last,0.6534,16.09
country-capital,knowledge,4,2,cass_recon,0.04081632653061224,0.8391,5,country-currency|landmark-country|park-country|product-company|alphabetically-last,0.6534,16.09
country-capital,knowledge,4,2,zvec,0.04081632653061224,0.8391,5,country-currency|landmark-country|park-country|product-company|alphabetically-last,0.6534,16.09
country-capital,knowledge,4,3,cass,0.04081632653061224,0.8743,3,country-currency|landmark-country|park-country,0.782,16.53
country-capital,knowledge,4,4,cass,0.04081632653061224,0.8276,5,country-currency|landmark-country|park-country|person-instrument|product-company,0.7165,17.61
country-currency,knowledge,0,0,oracle,0.0,0,1,country-currency,0,16.469684214240942
country-currency,knowledge,0,0,naive,0.0,1,31,all,0,0
country-currency,knowledge,4,0,cass,0.0,0.7333,5,country-capital|park-country|person-occupation|person-sport|product-company,0.7867,14.49
country-currency,knowledge,4,0,cass_recon,0.0,0.7333,5,country-capital|park-country|person-occupation|person-sport|product-company,0.7867,14.49
country-currency,knowledge,4,0,zvec,0.0,0.7333,5,country-capital|park-country|person-occupation|person-sport|product-company,0.7867,14.49
country-currency,knowledge,4,1,cass,0.0,0.8435,3,country-capital|landmark-country|park-country,0.5494,9.62
country-currency,knowledge,4,1,cass_recon,0.0,0.8435,3,country-capital|landmark-country|park-country,0.5494,9.62
country-currency,knowledge,4,1,zvec,0.0,0.8435,3,country-capital|landmark-country|park-country,0.5494,9.62
country-currency,knowledge,4,2,cass,0.0,0.8153,4,country-capital|landmark-country|park-country|person-occupation,0.5957,13.34
country-currency,knowledge,4,2,cass_recon,0.0,0.8153,4,country-capital|landmark-country|park-country|person-occupation,0.5957,13.34
country-currency,knowledge,4,2,zvec,0.0,0.8153,4,country-capital|landmark-country|park-country|person-occupation,0.5957,13.34
country-currency,knowledge,4,3,cass,0.0,0.8141,4,country-capital|landmark-country|park-country|alphabetically-last,0.7736,16.39
country-currency,knowledge,4,4,cass,0.0,0.6972,4,country-capital|landmark-country|park-country|person-occupation,0.4642,13.54
landmark-country,knowledge,0,0,oracle,0.0,0,1,landmark-country,0,14.354036864002829
landmark-country,knowledge,0,0,naive,0.0,1,31,all,0,0
landmark-country,knowledge,4,0,cass,0.0,0.6446,5,park-country|person-occupation|person-sport|product-company|next-item,0.135,5.51
landmark-country,knowledge,4,0,cass_recon,0.0,0.6446,5,park-country|person-occupation|person-sport|product-company|next-item,0.135,5.51
landmark-country,knowledge,4,0,zvec,0.0,0.6446,5,park-country|person-occupation|person-sport|product-company|next-item,0.135,5.51
landmark-country,knowledge,4,1,cass,0.0,0.5871,5,country-capital|park-country|person-occupation|product-company|synonym,0.2398,11.34
landmark-country,knowledge,4,1,cass_recon,0.0,0.5871,5,country-capital|park-country|person-occupation|product-company|synonym,0.2398,11.34
landmark-country,knowledge,4,1,zvec,0.0,0.5871,5,country-capital|park-country|person-occupation|product-company|synonym,0.2398,11.34
landmark-country,knowledge,4,2,cass,0.0,0.5983,5,park-country|person-occupation|person-sport|product-company|next-item,0.2407,9.36
landmark-country,knowledge,4,2,cass_recon,0.0,0.5983,5,park-country|person-occupation|person-sport|product-company|next-item,0.2407,9.36
landmark-country,knowledge,4,2,zvec,0.0,0.5983,5,park-country|person-occupation|person-sport|product-company|next-item,0.2407,9.36
landmark-country,knowledge,4,3,cass,0.0,0.6405,5,park-country|person-occupation|person-sport|product-company|synonym,0.1782,7.4
landmark-country,knowledge,4,4,cass,0.0,0.6446,4,park-country|person-occupation|person-sport|product-company,0.3295,10.99
park-country,knowledge,0,0,oracle,0.0,0,1,park-country,0,17.069726694017547
park-country,knowledge,0,0,naive,0.0,1,31,all,0,0
park-country,knowledge,4,0,cass,0.0,0.5477,5,country-capital|country-currency|landmark-country|person-sport|product-company,0.2057,11.15
park-country,knowledge,4,0,cass_recon,0.0,0.5477,5,country-capital|country-currency|landmark-country|person-sport|product-company,0.2057,11.15
park-country,knowledge,4,0,zvec,0.0,0.5477,5,country-capital|country-currency|landmark-country|person-sport|product-company,0.2057,11.15
park-country,knowledge,4,1,cass,0.0,0.6526,4,country-currency|landmark-country|person-occupation|product-company,0.3943,9.95
park-country,knowledge,4,1,cass_recon,0.0,0.6526,4,country-currency|landmark-country|person-occupation|product-company,0.3943,9.95
park-country,knowledge,4,1,zvec,0.0,0.6526,4,country-currency|landmark-country|person-occupation|product-company,0.3943,9.95
park-country,knowledge,4,2,cass,0.0,0.5563,4,country-capital|country-currency|landmark-country|product-company,0.3742,13.39
park-country,knowledge,4,2,cass_recon,0.0,0.5563,4,country-capital|country-currency|landmark-country|product-company,0.3742,13.39
park-country,knowledge,4,2,zvec,0.0,0.5563,4,country-capital|country-currency|landmark-country|product-company,0.3742,13.39
park-country,knowledge,4,3,cass,0.0,0.5489,5,country-capital|country-currency|landmark-country|person-sport|product-company,0.2758,12.03
park-country,knowledge,4,4,cass,0.0,0.5664,5,country-capital|landmark-country|person-occupation|person-sport|product-company,0.3095,14.25
person-occupation,knowledge,0,0,oracle,0.0,0,1,person-occupation,0,4.715443878579818
person-occupation,knowledge,0,0,naive,0.0,1,31,all,0,0
person-occupation,knowledge,4,0,cass,0.0,0.8154,4,landmark-country|person-sport|person-instrument|product-company,0.2288,5.01
person-occupation,knowledge,4,0,cass_recon,0.0,0.8154,4,landmark-country|person-sport|person-instrument|product-company,0.2288,5.01
person-occupation,knowledge,4,0,zvec,0.0,0.8154,4,landmark-country|person-sport|person-instrument|product-company,0.2288,5.01
person-occupation,knowledge,4,1,cass,0.0,0.8643,3,landmark-country|person-sport|person-instrument,0.143,2.89
person-occupation,knowledge,4,1,cass_recon,0.0,0.8643,3,landmark-country|person-sport|person-instrument,0.143,2.89
person-occupation,knowledge,4,1,zvec,0.0,0.8643,3,landmark-country|person-sport|person-instrument,0.143,2.89
